Epoch,Loss,Prec@1,Prec@5
0,5.81049,1.4051,6.0501
0,5.95522,1.3212,6.4695
0,5.82234,1.2687,5.9453
0,5.87235,1.2373,6.0396
0,5.81798,1.2058,5.9662
0,5.85295,1.4051,6.1445
0,5.68739,1.1744,5.9872
0,5.85981,1.1324,6.2913
0,5.75309,1.3736,5.9453
